intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
13.88888889,2.6093900000000002e-23,1.2584200000000001e-29,1.77737e-35
16.66666667,2.3201e-18,5.788640000000001e-24,3.20524e-29
19.44444444,1.136e-14,1.13362e-19,1.9885800000000002e-24
22.22222222,7.7039e-12,2.54556e-16,1.21009e-20
25.0,1.27059e-09,1.2027e-13,1.37475e-17
27.77777778,7.34583e-08,1.77571e-11,4.44025e-15
30.55555556,1.90965e-06,1.07349e-09,5.43811e-13
33.33333333,2.66226e-05,3.21877e-08,3.09944e-11
36.11111111,0.00022635,5.50742e-07,9.55224e-10
38.88888889,0.001292397,5.97412e-06,1.78207e-08
41.66666667,0.005335658,4.45365e-05,2.19478e-07
44.44444444,0.016875884,0.000243032,1.90965e-06
47.22222222,0.042819867,0.00102065,1.23887e-05
50.0,0.090480065,0.003434796,6.25881e-05
52.77777778,0.164196347,0.009573602,0.000255129
55.55555556,0.262583393,0.022712511,0.000864094
69.44444444,0.802954688,0.303949916,0.049909283
83.33333333,0.980665857,0.758786199,0.333504421
