asset_type,mean_cost_usd,min_cost_usd,max_cost_usd,unit_type
airport,10.4,7.0,17.7,sqm
arch_bridge,400000.0,200000.0,600000.0,unit
asphalt_concrete_bad,549.5,529.0,570.0,m
asphalt_concrete_fair,549.5,529.0,570.0,m
asphalt_concrete_good,1156.0,1026.0,1176.0,m
asphalt_concrete_poor,549.5,529.0,570.0,m
bridge,27500.0,25000.0,30000.0,m
concrete_fair,384.65,370.3,399.0,m
concrete_good,384.65,370.3,399.0,m
concrete_poor,384.65,370.3,399.0,m
container,800.0,640.0,960.0,sqm
dbst_bad,276.5,224.0,329.0,m
dbst_fair,276.5,224.0,329.0,m
dbst_good,342.0,329.0,489.0,m
dbst_poor,276.37,223.74,329.0,m
dry bulk,550.0,440.0,660.0,sqm
earthern_bad,36.6,35.0,38.2,m
earthern_fair,36.6,35.0,38.2,m
earthern_good,36.6,35.0,38.2,m
earthern_poor,36.6,35.0,38.2,m
general cargo,1000.0,800.0,1200.0,sqm
gravel_bad,44.0,41.2,46.0,m
gravel_fair,44.0,41.2,46.0,m
gravel_good,44.0,41.2,46.0,m
gravel_poor,44.0,41.2,46.0,m
hdpe_pipe_culvert_fair,2500.0,2000.0,3000.0,unit
hdpe_pipe_culvert_good,2500.0,2000.0,3000.0,unit
hdpe_pipe_culvert_poor,2500.0,2000.0,3000.0,unit
liquid,1000.0,800.0,1200.0,sqm
masonry_arch_culvert_bad,40000.0,32000.0,48000.0,unit
masonry_arch_culvert_fair,40000.0,32000.0,48000.0,unit
masonry_arch_culvert_good,40000.0,32000.0,48000.0,unit
masonry_arch_culvert_poor,40000.0,32000.0,48000.0,unit
masonry_arch_culvert_very_poor,40000.0,32000.0,48000.0,unit
mgr_bridge_open,52600.0,47340.0,57860.0,m
mgr_track_open,680.0,612.0,748.0,m
non_engineered_bad,35.2,32.96,36.8,m
non_engineered_fair,35.2,32.96,36.8,m
non_engineered_good,35.2,32.96,36.8,m
non_engineered_poor,35.2,32.96,36.8,m
other,550.0,440.0,660.0,sqm
pipe_vented_causeway_fair,30000.0,24000.0,36000.0,unit
pipe_vented_causeway_good,30000.0,24000.0,36000.0,unit
pipe_vented_causeway_poor,30000.0,24000.0,36000.0,unit
pipe_vented_causeway_very_poor,30000.0,24000.0,36000.0,unit
rcc_box_vented_causeway_bad,100000.0,80000.0,120000.0,unit
rcc_box_vented_causeway_fair,100000.0,80000.0,120000.0,unit
rcc_box_vented_causeway_good,100000.0,80000.0,120000.0,unit
rcc_box_vented_causeway_poor,100000.0,80000.0,120000.0,unit
rcc_box_vented_causeway_very_poor,100000.0,80000.0,120000.0,unit
rcc_bridge,1000000.0,530000.0,3000000.0,unit
rcc_causeway_fair,100000.0,80000.0,120000.0,unit
rcc_causeway_good,100000.0,80000.0,120000.0,unit
rcc_causeway_poor,100000.0,80000.0,120000.0,unit
rcc_causeway_very_poor,100000.0,80000.0,120000.0,unit
rcc_drift_bad,20000.0,16000.0,24000.0,unit
rcc_drift_fair,20000.0,16000.0,24000.0,unit
rcc_drift_good,20000.0,16000.0,24000.0,unit
rcc_drift_poor,20000.0,16000.0,24000.0,unit
rcc_drift_very_poor,20000.0,16000.0,24000.0,unit
rcc_pipe_culvert_bad,10000.0,8000.0,9600.0,unit
rcc_pipe_culvert_fair,10000.0,8000.0,9600.0,unit
rcc_pipe_culvert_good,10000.0,8000.0,9600.0,unit
rcc_pipe_culvert_poor,10000.0,8000.0,9600.0,unit
rcc_pipe_culvert_very_poor,10000.0,8000.0,9600.0,unit
rcc_slab_culvert_bad,4000.0,3200.0,4800.0,unit
rcc_slab_culvert_fair,4000.0,3200.0,4800.0,unit
rcc_slab_culvert_good,4000.0,3200.0,4800.0,unit
rcc_slab_culvert_poor,4000.0,3200.0,4800.0,unit
rcc_slab_culvert_very_poor,4000.0,3200.0,4800.0,unit
refinery,1800.0,1440.0,2160.0,sqm
roro,750.0,600.0,900.0,sqm
sbst_fair,221.2,179.2,263.2,m
sbst_good,221.2,179.2,263.2,m
sbst_poor,273.6,263.2,391.2,m
sgr_track_construction,4100.0,3460.0,4320.0,m
sgr_track_open,2970.0,2673.0,3267.0,m
sgr_track_planned,4500.0,3460.0,7100.0,m
sgr_track_proposed,4500.0,3460.0,7100.0,m
steel_pipe_culvert_bad,3000.0,2400.0,3600.0,unit
steel_pipe_culvert_fair,3000.0,2400.0,3600.0,unit
steel_pipe_culvert_good,3000.0,2400.0,3600.0,unit
steel_pipe_culvert_poor,3000.0,2400.0,3600.0,unit
steel_pipe_culvert_very_poor,3000.0,2400.0,3600.0,unit
steelcomposite_bridge,150000.0,120000.0,180000.0,unit
steeltruss_bridge,100000.0,80000.0,120000.0,unit
stone_pavement_bad,150.55,142.4,158.7,m
stone_pavement_fair,150.55,142.4,158.7,m
stone_pavement_good,150.55,142.4,158.7,m
storage,400.0,320.0,480.0,sqm
timber_bridge,5000.0,4000.0,6000.0,unit
warehouse,600.0,480.0,720.0,sqm
wooden_culvert_fair,2000.0,1600.0,2400.0,unit
wooden_culvert_good,2000.0,1600.0,2400.0,unit
wooden_culvert_poor,2000.0,1600.0,2400.0,unit
wooden_culvert_very_poor,2000.0,1600.0,2400.0,unit
